card_id,appearances,wins_with_card,usage_rate,win_rate,card_name
26000011,73905,44880,0.4413661717807532,0.6072660848386442,Valkyrie
26000018,70868,46285,0.42322898128351827,0.6531156516340239,Mini P.E.K.K.A
28000011,69464,44570,0.4148441885742269,0.6416273177473224,The Log
28000001,64302,36985,0.38401633959604886,0.5751765108394762,Arrows
26000055,63066,38633,0.37663485541607444,0.6125804712523388,Mega Knight
26000007,60683,36281,0.36240340169368035,0.5978774945207059,Witch
28000000,59730,34890,0.3567120146196386,0.5841285786037167,Fireball
26000021,59624,34813,0.3560789747142362,0.583875620555481,Hog Rider
26000000,59502,34819,0.3553503816155656,0.5851736076098283,Knight
28000004,59316,34907,0.35423957574382187,0.5884921437723379,Goblin Barrel
26000012,57170,34733,0.34142350369671415,0.6075389190134686,Skeleton Army
26000017,53018,30317,0.31662745004359616,0.5718246633218906,Wizard
26000064,51284,30628,0.30627187272314654,0.5972233055143904,Firecracker
26000015,47166,27120,0.28167886960572364,0.5749904592291057,Baby Dragon
26000010,44412,23484,0.26523177621442134,0.5287760064847339,Skeletons
26000040,43484,24888,0.2596896910048613,0.5723484500045994,Dart Goblin
28000008,43114,23420,0.25748002341053233,0.5432110219418287,Zap
27000006,41535,22929,0.2480501176498692,0.5520404478150956,Tesla
27000000,39720,21073,0.23721080228849897,0.5305387713997985,Cannon
26000004,39423,21349,0.23543709613845656,0.5415366664130077,P.E.K.K.A
26000030,38786,20905,0.23163288463146328,0.5389831382457588,Ice Spirit
26000041,37035,20652,0.22117578204316615,0.5576346699068448,Goblin Gang
26000016,35343,19853,0.2110710318550458,0.5617236793707382,Prince
26000049,32880,17169,0.19636181216631032,0.5221715328467154,Bats
26000001,32835,18440,0.1960930688102433,0.5615958580782702,Archers
26000014,32176,18031,0.19215747166250613,0.560386623570363,Musketeer
26000042,31175,17450,0.1861794250086595,0.5597433841218925,Electro Wizard
26000037,28549,15531,0.17049675716350346,0.5440120494588252,Inferno Dragon
26000005,28238,15741,0.16863944196935132,0.5574403286351725,Minions
26000006,27082,14094,0.16173572375571826,0.5204194668045196,Balloon
26000026,26822,14635,0.16018298436510875,0.5456341808962791,Princess
26000008,25266,13459,0.15089043631976876,0.5326921554658435,Barbarians
26000025,23800,12255,0.14213537498656284,0.5149159663865546,Guards
26000035,23792,12751,0.14208759838992868,0.5359364492266308,Lumberjack
26000058,23226,12800,0.13870740417806338,0.5511065185567898,Wall Breakers
26000013,22322,11342,0.1333086487584057,0.508108592420034,Bomber
28000015,21703,10615,0.1296119345938392,0.48910288900152055,Barbarian Barrel
28000017,21428,10521,0.1279696140845407,0.49099309314915063,Giant Snowball
26000036,21425,11109,0.12795169786080288,0.5185064177362894,Battle Ram
26000045,20689,11227,0.12355625097046212,0.5426555174247184,Executioner
28000026,20482,11296,0.12232003153255377,0.5515086417342057,Vines
26000019,20392,10158,0.12178254482041971,0.4981365241271087,Spear Goblins
27000003,20146,10273,0.12031341447391995,0.5099275290380224,Inferno Tower
26000043,19704,10515,0.11767375750988378,0.5336479902557856,Elite Barbarians
26000003,19310,11179,0.11532076012565246,0.5789228379078197,Giant
28000002,18794,9455,0.1122391696427505,0.5030860913057359,Rage
26000027,18448,9687,0.11017283183832399,0.5250975715524718,Dark Prince
26000056,17498,9346,0.10449936098802001,0.5341181849354212,Skeleton Barrel
26000084,16672,8108,0.09956642738554519,0.4863243761996161,Electro Spirit
27000010,16308,8880,0.09739259223869187,0.5445180279617365,Furnace
26000046,15888,8219,0.0948843209153996,0.5173086606243706,Bandit
26000023,15391,7640,0.09191619984950372,0.49639399649145605,Ice Wizard
28000009,14808,7184,0.08843448036979086,0.4851431658562939,Poison
26000032,14697,7109,0.08777158009149218,0.48370415731101585,Miner
26000063,14684,7417,0.0876939431219617,0.5051076001089622,Electro Dragon
27000012,14475,7115,0.08644577953489484,0.4915371329879102,Goblin Cage
28000012,14440,6496,0.08623675692462048,0.44986149584487534,Tornado
28000003,13985,6594,0.08351946299105384,0.47150518412584913,Rocket
26000033,13829,7220,0.08258781935668813,0.5220912575023501,Sparky
26000062,13753,7102,0.08213394168866381,0.5163964225987058,Magic Archer
27000009,13670,6657,0.08163825949858462,0.4869787856620337,Tombstone
27000001,13618,6906,0.08132771162046272,0.5071229255397268,Goblin Hut
26000051,13385,6833,0.07993621824349342,0.5104968248038849,Ram Rider
28000005,13333,6214,0.07962567036537152,0.46606165154128854,Freeze
26000074,12907,6594,0.07708156659460363,0.5108855659719532,Golden Knight
26000103,12628,6529,0.07541535778698805,0.5170256572695597,Boss Bandit
26000039,12422,5714,0.07418511042365897,0.45999033971985187,Mega Minion
26000059,12229,5900,0.07303250002986038,0.4824597268787309,Royal Hogs
26000009,12229,6020,0.07303250002986038,0.4922724670864339,Golem
26000024,12203,6121,0.07287722609079943,0.5015979677128575,Royal Giant
26000002,11811,5947,0.07053617285572662,0.503513673694014,Goblins
26000047,11738,5856,0.0701002114114401,0.4988924859430908,Royal Recruits
26000020,11520,6085,0.06879829915315983,0.5282118055555556,Giant Skeleton
26000022,11249,5898,0.06717986694217837,0.5243132722908703,Minion Horde
26000038,10707,5151,0.06394300252021547,0.4810871392546932,Ice Golem
26000031,10581,5039,0.06319052112322779,0.4762309800585956,Fire Spirit
26000050,9878,4811,0.05899215269400284,0.48704191131808056,Royal Ghost
28000007,9806,4371,0.05856216332429559,0.4457475015296757,Lightning
28000006,9383,4750,0.056035975777265504,0.5062346797399553,Mirror
26000069,9216,4642,0.05503863932252786,0.5036892361111112,Skeleton King
26000067,8933,4296,0.0533485422165952,0.4809134669204075,Elixir Golem
26000102,8318,4267,0.04967571635034578,0.5129838903582592,Berserker
26000060,8295,4001,0.049538358635022636,0.4823387582881254,Goblin Giant
26000034,8092,4038,0.04832602749543136,0.4990113692535838,Bowler
26000044,7894,3868,0.04714355672873643,0.48999239929060046,Hunter
27000004,7848,3813,0.04686884129809013,0.48585626911314983,Bomb Tower
28000014,7730,3932,0.04616413649773658,0.5086675291073739,Earthquake
26000080,7356,3312,0.0439305806050906,0.45024469820554647,Skeleton Dragons
28000018,7280,3756,0.04347670293706628,0.515934065934066,Royal Delivery
28000013,6888,3317,0.04113564970199348,0.48156213704994194,Clone
28000010,6813,2923,0.040687744108548425,0.42903273154263905,Graveyard
26000085,6735,3297,0.04022192229136558,0.48953229398663695,Electro Giant
26000065,6691,3417,0.03995915100987781,0.5106859961141832,Mighty Miner
26000093,6400,3355,0.038221277307311015,0.52421875,Little Prince
28000024,6379,2976,0.0380958637411464,0.46653080420128545,Goblin Curse
27000008,6334,2832,0.03782712038507937,0.44711083043890115,X-Bow
26000083,6198,3011,0.03701491824229901,0.48580187157147464,Mother Witch
26000057,5703,2641,0.03405874132556167,0.46308960196387866,Flying Machine
27000002,5582,2691,0.033336120301470325,0.4820852740953063,Mortar
26000072,5192,2568,0.03100701121555606,0.4946070878274268,Archer Queen
26000048,5158,2404,0.03080396067986097,0.4660721209771229,Night Witch
26000096,4907,2502,0.029304969960464868,0.5098838394130834,Goblin Machine
26000068,4770,2184,0.02848679574310524,0.4578616352201258,Battle Healer
27000013,4758,2202,0.028415130848154033,0.46279949558638084,Goblin Drill
26000061,4730,2270,0.028247912759934546,0.4799154334038055,Fisherman
26000052,4539,2122,0.027107246515294482,0.4675038554747742,Zappies
26000029,3720,1530,0.022216117434874526,0.4112903225806452,Lava Hound
27000007,3719,1751,0.02221014536029526,0.4708254907233127,Elixir Collector
26000053,3670,1960,0.02191751370591116,0.5340599455040872,Rascals
28000016,3585,1640,0.021409887366673434,0.45746164574616455,Heal Spirit
26000099,3435,1800,0.020514076179783333,0.5240174672489083,Goblinstein
26000028,3218,1502,0.019218135996082318,0.46674953387197016,Three Musketeers
26000097,3097,1614,0.01849551497199097,0.5211494995156604,Suspicious Bush
26000077,2907,1433,0.017360820801930174,0.4929480564155487,Monk
26000054,2871,1559,0.01714582611707655,0.5430163706025775,Cannon Cart
26000087,2189,950,0.01307287125401622,0.43398812243033347,Phoenix
28000025,1939,928,0.011579852609199384,0.4785972150593089,Spirit Empress
28000023,1898,824,0.011334997551449422,0.43414120126448896,Void
26000095,1491,717,0.008904363197687613,0.48088531187122735,Goblin Demolisher
27000005,1211,504,0.007232182315492756,0.4161849710982659,Barbarian Hut
26000101,1067,433,0.006372203576078258,0.40581068416119964,Rune Giant
28000020,13,13,7.76369695304755e-05,1.0,28000020
